PosX,PosY,SurfaceValue
-4.375,5,2.94366
3.125,4.375,1.4822
-5,5,2.88147
-0.625,5,1.65495
-1.875,5,1.62731
-3.75,5,0
-4.375,4.375,3.03695
-3.125,5,2.09028
-3.75,4.375,0
-2.5,5,1.74478
-1.25,5,1.63421
3.75,5,1.27489
0,5,1.63421
0.625,5,1.63421
1.25,5,1.60658
1.875,5,1.78278
2.5,5,1.97281
3.125,5,1.50984
4.375,5,1.55821
-3.125,4.375,2.03845
5,5,1.11251
-5,4.375,2.98857
-2.5,4.375,1.74478
-1.875,4.375,1.63421
-1.25,4.375,1.62731
-0.625,4.375,1.64112
0,4.375,1.65495
0.625,4.375,1.87952
1.25,4.375,1.60312
4.375,4.375,1.16779
1.875,4.375,1.53402
2.5,4.375,1.74132
3.75,4.375,1.20925
5,4.375,1.1436
