PosX,PosY,SurfaceValue
-4.375,5,2.89875
3.125,4.375,1.30599
-1.875,1.875,1.77933
-5,5,2.6258
4.375,3.75,1.15743
-0.625,5,1.8657
-5,1.875,0
-1.875,5,1.72059
-3.75,5,2.89529
1.25,3.75,1.91753
-4.375,4.375,3.13023
-3.125,5,2.11101
-0.625,-3.125,1.60312
-5,-0,2.98166
-3.75,4.375,3.04731
1.25,3.125,1.93825
-3.75,-4.375,0
1.25,-3.125,1.95898
-0.625,3.125,1.80696
-2.5,5,1.92098
5,3.125,0
-1.25,5,1.78278
0,-5,0
1.875,-2.5,1.63421
3.75,5,2.17665
3.75,-5,0
1.875,2.5,1.56857
0,5,1.8277
0.625,5,1.83806
1.25,5,1.80696
-5,3.125,3.22006
-3.75,-2.5,1.77933
5,-1.875,0
2.5,3.75,1.44764
0,2.5,1.76205
1.875,5,1.74132
5,-1.25,0
2.5,5,1.85188
-1.25,3.75,1.75514
3.125,5,1.38546
-4.375,1.875,0
4.375,5,1.04341
-3.75,3.75,0
3.125,3.75,1.31635
1.875,1.875,1.77587
-3.125,4.375,2.19738
5,5,0
1.875,3.75,1.58239
-5,4.375,0
-2.5,4.375,1.8657
-1.875,-0.625,1.57202
5,3.75,0
-1.875,4.375,1.66876
-1.25,4.375,1.7655
-0.625,-0.625,2.50833
-3.75,3.125,0
-0.625,4.375,1.8277
3.75,-1.25,1.30599
0,4.375,1.8277
3.75,3.125,1.32672
0,3.125,1.80351
1.25,-1.25,1.62039
0.625,4.375,1.78278
1.25,4.375,1.72405
0.625,1.875,1.68259
1.875,4.375,1.64804
-5,3.75,3.0784
4.375,4.375,1.90716
-4.375,3.75,3.14059
2.5,4.375,1.91753
-1.25,-3.125,1.50984
0.625,3.125,1.74823
0.625,-3.125,2.25957
5,-0,0
-1.25,3.125,1.80006
0,-1.25,1.56511
3.75,4.375,1.21271
-1.875,3.75,1.75859
2.5,-2.5,1.40964
5,4.375,0
-2.5,3.125,1.91753
3.75,3.75,1.27144
-3.125,3.75,2.15592
-2.5,3.75,1.82424
-0.625,3.75,1.81042
-5,1.25,3.03004
0,3.75,1.80696
0.625,3.75,1.76896
1.875,-0,1.75169
-4.375,3.125,3.20279
-3.125,3.125,2.16974
1.25,1.875,1.63767
-1.875,3.125,1.77242
1.875,3.125,1.56166
2.5,3.125,1.45456
3.125,3.125,1.36127
4.375,3.125,1.33709
4.375,-1.875,1.42692
-5,2.5,0
-4.375,2.5,0
2.5,-3.75,1.95553
-3.75,2.5,3.28916
-3.125,2.5,2.24921
-2.5,2.5,1.92098
-1.875,2.5,1.78969
-1.25,2.5,1.8346
-0.625,2.5,1.7966
0.625,2.5,2.09028
1.25,2.5,2.3874
5,0.625,0
2.5,2.5,1.60658
3.125,2.5,1.39927
3.75,2.5,1.38546
