PosX,PosY,SurfaceValue
-4.375,5,2.9333
3.125,4.375,1.33363
-5,5,0
-0.625,5,1.69986
-1.875,5,1.61003
-3.75,5,0
-4.375,4.375,3.04385
-3.125,5,2.10755
-3.75,4.375,2.97476
-2.5,5,1.87261
-1.25,5,1.67913
3.75,5,1.27489
0,5,1.68604
0.625,5,1.68949
1.25,5,1.79314
1.875,5,1.66185
2.5,5,1.55475
3.125,5,1.42346
4.375,5,1.7655
-3.125,4.375,2.08682
5,5,1.07105
-5,4.375,2.97476
-2.5,4.375,1.77933
-1.875,4.375,1.65495
-1.25,4.375,2.41505
-0.625,4.375,1.69986
0,4.375,1.91753
0.625,4.375,1.91753
1.25,4.375,1.7966
4.375,4.375,1.14706
1.875,4.375,1.5513
2.5,4.375,1.71022
3.75,4.375,1.22307
5,4.375,1.35436
