PosX,PosY,SurfaceValue
2.57576,-2.27273,1.22998
5,5,0.625355
-2.87879,5,0.88448
-4.39394,5,1.11597
-3.18182,-2.87879,1.06069
-4.09091,1.06061,1.69641
-1.36364,2.87879,2.1801
2.87879,5,0.38005
-5,5,1.51674
-1.36364,-2.87879,0.46988
-3.18182,2.27273,1.92098
-4.69697,5,1.17124
-0.454545,-3.48485,2.31831
-0.151515,3.78788,1.13324
3.18182,-1.36364,0
2.87879,4.69697,0.307495
4.69697,5,0.348955
-1.66667,4.39394,1.62731
-4.69697,-0.151515,1.51329
-4.09091,5,1.39236
-1.66667,0.151515,1.77933
-4.39394,-4.39394,3.03349
4.09091,1.06061,0.148565
0.151515,1.9697,2.14556
-3.78788,5,1.70677
-3.18182,4.09091,2.70872
0.151515,4.69697,0.31095
-2.87879,-1.66667,0.17275
-1.66667,5,0.190025
1.9697,0.151515,0
1.9697,4.39394,0.12438
-3.48485,5,1.88297
0.454545,0.757576,2.68108
-1.36364,4.69697,0.266035
0.454545,-3.78788,0
3.48485,-3.48485,0.79465
-3.18182,5,1.34054
-2.57576,5,0.5528
3.48485,-2.87879,0.26949
-4.39394,-2.57576,0
-2.27273,5,0.47679
-0.757576,3.78788,0.76701
-3.48485,-4.69697,3.44809
-3.18182,4.69697,1.5202
2.27273,4.09091,0.12438
-1.06061,-1.06061,0.87757
-1.9697,-5,1.14015
-1.66667,-0.454545,1.49947
-1.36364,5,0.231485
-4.69697,-0.454545,1.44073
-1.9697,5,0.114015
2.87879,1.9697,1.48565
1.36364,-1.06061,0.83611
-1.06061,5,0.26949
1.66667,1.06061,2.02117
4.69697,-0.454545,0.086375
-0.757576,5,0.611535
-2.27273,4.69697,0.576985
-4.09091,-2.87879,2.40123
-3.18182,3.18182,2.74327
-0.454545,5,0.29022
0.757576,3.18182,2.09028
1.66667,4.69697,0.53898
5,1.66667,1.23689
1.36364,2.57576,0.846475
-1.9697,3.48485,2.03845
3.78788,0.454545,0.04837
-0.151515,5,0.328225
0.454545,0.454545,1.09178
2.87879,0.151515,1.01577
2.87879,4.39394,0.514795
1.36364,-3.48485,1.28181
-1.36364,2.57576,1.75514
-3.78788,2.87879,1.94862
-1.66667,4.69697,0.127835
-2.87879,0.151515,0.36623
-2.87879,4.39394,0.94667
2.27273,5,0.28331
-5,1.66667,0.15202
0.151515,5,0.321315
1.9697,-3.48485,1.01923
-0.757576,3.18182,1.44419
1.06061,4.69697,0.321315
4.09091,4.39394,0.196935
-1.9697,4.69697,0.348955
-3.48485,-1.66667,0.528615
4.09091,0.151515,0.7601
-3.78788,0.151515,1.71022
5,-1.36364,0
-3.78788,4.39394,1.58239
0.454545,5,0.3455
-1.66667,1.06061,0.83611
0.757576,5,0.404235
-0.454545,-0.454545,0.96049
1.9697,-2.27273,0.342045
-1.36364,-1.06061,0.818835
-0.454545,4.69697,0.259125
-2.87879,1.9697,2.35977
-3.78788,-1.66667,1.43037
1.06061,5,0.37314
3.48485,-4.69697,3.42736
3.18182,4.69697,0.06219
-2.87879,-1.36364,0.770465
1.9697,5,0.929395
0.151515,3.48485,0.8292
1.9697,-5,3.0404
1.36364,5,0.348955
-0.151515,4.69697,0.29713
0.454545,3.78788,1.11942
-1.9697,0.151515,1.94171
3.48485,-5,0
-1.9697,4.39394,1.37509
3.48485,5,0.100195
1.66667,5,1.26798
-3.18182,1.66667,2.56015
-4.09091,-2.57576,2.073
-2.57576,4.69697,0.881025
2.57576,5,0.314405
1.36364,4.69697,0.40769
3.18182,5,0
2.27273,1.66667,1.16088
3.48485,-0.454545,0.051825
-3.18182,1.9697,2.16629
-1.36364,-1.9697,0.196935
3.78788,5,0.141655
1.36364,-4.39394,1.51674
4.09091,5,0.190025
-5,4.09091,0
-1.66667,2.27273,1.32672
-2.57576,0.151515,1.4891
-2.57576,4.39394,0.77392
3.78788,4.69697,0.15202
3.18182,-2.87879,1.09523
-4.69697,2.57576,1.85188
4.39394,5,0.266035
-0.454545,1.9697,2.12483
0.454545,-1.36364,0.438785
-5,4.69697,0
-1.36364,4.09091,1.05377
-0.757576,-1.9697,0.15202
-4.69697,4.69697,0
-1.9697,2.87879,2.00044
-4.39394,4.69697,1.15743
2.87879,3.18182,1.81387
4.39394,-4.09091,1.33363
-4.09091,4.69697,1.45456
4.39394,-0.757576,0.044915
-3.78788,4.69697,1.91061
1.36364,-0.454545,1.10906
-3.48485,1.36364,2.07646
-3.18182,3.48485,3.1786
4.69697,0.454545,0.984675
-5,-3.48485,2.80891
-0.151515,3.18182,1.11942
-3.48485,4.69697,1.63076
-2.87879,4.69697,1.72059
-3.18182,-1.36364,0.625355
1.9697,4.69697,0.756645
-4.39394,2.87879,1.88988
1.66667,3.78788,2.10755
-5,1.36364,1.47183
0.151515,-0.151515,2.33904
-1.06061,4.69697,0.300585
-0.757576,4.69697,0.438785
-1.36364,0.757576,0.691
0.454545,4.69697,0.342045
-1.36364,-3.78788,0
-1.06061,3.18182,0.943215
2.87879,-3.48485,0.957035
2.27273,1.06061,2.57743
4.09091,1.36364,0.02073
0.757576,4.69697,0.376595
1.9697,-4.69697,3.53447
0.757576,1.06061,2.15247
2.27273,4.69697,0.75319
4.69697,3.48485,0.100195
-1.06061,-2.27273,1.36472
3.18182,-0.151515,1.88988
2.57576,4.69697,0.3455
-0.757576,-4.09091,1.1436
-5,2.57576,3.49646
-0.757576,-0.757576,1.84843
-4.39394,0.151515,1.53057
5,-3.48485,3.05422
-4.39394,4.39394,1.29217
3.48485,4.69697,0.11747
-3.78788,3.18182,1.81733
4.09091,4.69697,0.190025
-4.09091,3.18182,1.74823
4.39394,4.69697,0.26949
4.69697,4.69697,0.307495
-0.151515,-0.454545,0.473335
5,4.69697,0
3.48485,-4.09091,2.40123
-5,0.151515,0
3.48485,-0.757576,0.038005
-2.57576,1.9697,2.5256
2.87879,2.57576,2.10755
-5,4.39394,0
-4.69697,0.151515,1.8277
-1.66667,-0.151515,1.4511
-2.57576,2.27273,1.1367
-4.69697,4.39394,1.45801
-3.18182,-4.39394,3.27188
-4.09091,4.39394,1.61003
3.78788,-2.57576,0.16584
-4.09091,0.151515,1.64458
-3.18182,1.06061,1.50638
4.09091,-1.66667,0
-3.48485,4.39394,1.77587
-2.87879,-1.9697,0.47679
-3.48485,0.151515,1.71022
-3.18182,0.151515,0.376595
1.66667,-1.36364,0.67718
-3.18182,4.39394,1.55821
-2.87879,2.27273,1.95898
-4.39394,-1.66667,1.61003
-2.27273,4.39394,0.68409
3.48485,-3.18182,0
-2.27273,0.151515,0.84302
-3.48485,0.757576,1.7966
-3.48485,-3.78788,0
-2.87879,2.57576,2.73636
-1.66667,-4.09091,3.17514
-1.36364,4.39394,0.528615
-1.66667,-0.757576,1.47183
4.39394,2.27273,0.20039
-1.36364,0.151515,2.06263
2.27273,1.9697,0.97431
5,3.78788,0
-1.06061,0.151515,2.02808
-4.69697,-3.18182,2.83656
-1.06061,4.39394,1.43383
-0.757576,0.151515,2.08336
-0.757576,4.39394,0.556255
-0.454545,0.151515,2.00735
-1.66667,1.9697,2.18356
-0.454545,4.39394,1.25417
4.39394,2.87879,0.11056
-0.151515,4.39394,1.41655
4.09091,-0.151515,0.03455
-0.151515,0.151515,2.79509
0.151515,4.39394,0.342045
-5,-1.36364,1.56166
0.151515,0.151515,2.06955
2.87879,-4.39394,0
0.454545,4.39394,0.3455
4.69697,-1.66667,0.17275
-0.454545,-4.69697,3.38245
0.454545,0.151515,1.98662
0.757576,0.151515,1.94171
0.757576,4.39394,0.30404
1.06061,4.39394,0.63572
3.18182,-3.48485,0.770465
1.06061,0.151515,1.96244
1.66667,-4.09091,0
1.66667,-0.757576,0.915575
-4.39394,2.27273,1.73786
1.36364,4.39394,0.51825
