PosX,PosY,SurfaceValue
-4.375,5,1.09869
3.125,4.375,0
-1.875,1.875,1.68604
-5,5,1.29908
4.375,3.75,0.18657
-0.625,5,0.293675
-5,1.875,1.84151
-1.875,5,0.114015
-3.75,5,1.79314
1.25,3.75,1.46837
-4.375,4.375,1.34399
-3.125,5,1.05377
-0.625,-3.125,0.245305
-5,-0,1.69986
-3.75,4.375,1.65495
1.25,3.125,1.23689
-3.75,-4.375,3.2477
1.25,-3.125,0.742825
-0.625,3.125,2.28721
-2.5,5,0.549345
5,3.125,0.93285
-1.25,5,0.217665
0,-5,3.04731
1.875,-2.5,0.38696
3.75,5,0.14511
3.75,-5,3.06458
1.875,2.5,1.62731
0,5,0.307495
0.625,5,0.82229
1.25,5,0.35241
-5,3.125,0
-3.75,-2.5,1.97626
5,-1.875,0
2.5,3.75,0.8292
0,2.5,1.37163
1.875,5,0.328225
5,-1.25,0
2.5,5,0.26949
-1.25,3.75,1.18507
3.125,5,0.04837
-4.375,1.875,1.64804
4.375,5,0.272945
-3.75,3.75,2.13174
3.125,3.75,0.473335
1.875,1.875,1.98317
-3.125,4.375,1.52366
5,5,0.61499
1.875,3.75,1.43728
-5,4.375,2.15592
-2.5,4.375,0.729005
-1.875,-0.625,1.8346
5,3.75,0.528615
-1.875,4.375,1.39927
-1.25,4.375,0.93976
-0.625,-0.625,0.77392
-3.75,3.125,1.8277
-0.625,4.375,1.18507
3.75,-1.25,0.05528
0,4.375,1.09523
3.75,3.125,0.072555
0,3.125,0.929395
1.25,-1.25,0.89139
0.625,4.375,0.28331
1.25,4.375,0.867205
0.625,1.875,1.99699
1.875,4.375,0.176205
-5,3.75,0
4.375,4.375,0.217665
-4.375,3.75,1.71022
2.5,4.375,0.424965
-1.25,-3.125,0.487155
0.625,3.125,2.14901
0.625,-3.125,2.26648
5,-0,0.286765
-1.25,3.125,0.846475
0,-1.25,1.04341
3.75,4.375,0.15202
-1.875,3.75,1.28181
2.5,-2.5,0.26949
5,4.375,0.397325
-2.5,3.125,2.13519
3.75,3.75,0.12438
-3.125,3.75,3.26498
-2.5,3.75,1.25417
-0.625,3.75,0.694455
-5,1.25,1.51674
0,3.75,0.91212
0.625,3.75,0.93976
1.875,-0,3.08877
-4.375,3.125,1.80696
-3.125,3.125,2.82964
1.25,1.875,1.90025
-1.875,3.125,2.5187
1.875,3.125,0.590805
2.5,3.125,0.89139
3.125,3.125,0.67027
4.375,3.125,0.024185
4.375,-1.875,0.038005
-5,2.5,3.34444
-4.375,2.5,1.8657
2.5,-3.75,0
-3.75,2.5,2.31485
-3.125,2.5,1.92444
-2.5,2.5,1.20234
-1.875,2.5,2.5187
-1.25,2.5,1.11942
-0.625,2.5,1.43728
0.625,2.5,2.81928
1.25,2.5,0.90521
5,0.625,0.65645
2.5,2.5,0.95358
3.125,2.5,0.53898
3.75,2.5,0
4.375,2.5,0.13129
5,2.5,0.87757
-3.75,1.875,2.42541
-3.125,1.875,2.35285
-2.5,1.875,1.73096
-1.25,1.875,1.28872
-0.625,1.875,1.27144
0,1.875,1.5893
-4.375,-2.5,2.01772
2.5,1.875,1.90371
2.5,-0.625,0.36623
3.125,1.875,0.78083
3.75,1.875,0
4.375,1.875,0.190025
5,1.875,0.71864
-4.375,1.25,1.70677
-3.75,1.25,2.01427
-3.125,1.25,1.22652
-2.5,1.25,2.40813
-1.875,1.25,2.75709
-1.25,1.25,2.4876
1.25,-4.375,3.29261
-0.625,1.25,3.17169
3.75,0.625,0.53898
0,1.25,3.14751
-1.25,-4.375,3.48264
0.625,1.25,1.0676
0.625,-4.375,0
1.25,1.25,0.87066
1.875,1.25,1.24725
-2.5,-3.75,0
2.5,1.25,2.726
3.125,1.25,1.28526
0,0.625,2.035
3.75,1.25,0.127835
4.375,1.25,0.07601
2.5,-5,3.13369
5,1.25,1.97971
-5,0.625,1.70332
-4.375,0.625,1.47874
-3.75,0.625,1.74132
-3.125,0.625,0.97431
-2.5,0.625,1.63076
5,-3.75,3.34789
-1.875,0.625,1.01577
-1.25,0.625,0.64954
-0.625,0.625,0.874115
0.625,0.625,0.85684
1.25,0.625,1.51329
1.875,0.625,2.64307
3.125,-1.875,0.031095
2.5,0.625,2.54979
3.125,0.625,0.53207
4.375,0.625,0.155475
-4.375,-0,1.52711
-3.75,-0,1.69295
-3.125,-0,0.362775
-2.5,-0,0.784285
-1.875,-0,1.98662
-1.25,-0,1.51329
-0.625,-0,1.47874
0,-0,2.52215
0.625,-0,0
1.25,-0,1.65495
-3.125,-3.75,0
2.5,-0,0.61499
3.125,-0,1.22307
-3.125,-5,3.26498
3.75,-0,0.00691
4.375,-0,0.05528
-5,-0.625,1.45801
-4.375,-0.625,1.4822
-3.75,-0.625,1.87952
-3.125,-0.625,0.404235
-2.5,-0.625,1.34399
0.625,-1.25,0.749735
-1.25,-0.625,0.818835
0,-0.625,0.473335
0.625,-0.625,0.53207
-0.625,-1.25,0.1382
1.25,-0.625,0.8983
1.875,-0.625,1.35782
3.125,-0.625,0.991585
3.75,-0.625,0.04146
4.375,-0.625,0
5,-0.625,0
-5,-1.25,1.49947
-4.375,-1.25,1.57894
-3.75,-1.25,0.666815
-3.125,-1.25,0.84302
-2.5,-1.25,0.61499
-1.875,-1.25,0.100195
-1.25,-1.25,0.424965
1.875,-1.25,0.957035
2.5,-1.25,0.65645
3.125,-1.25,0.08983
4.375,-1.25,0
3.75,-2.5,0.10365
-5,-1.875,1.8346
3.125,-3.75,1.5893
-4.375,-1.875,1.66876
-3.75,-1.875,0.64263
-3.125,-1.875,0.542435
-2.5,-1.875,0.15893
-1.875,-1.875,0.072555
-1.25,-1.875,0.155475
-0.625,-1.875,0.127835
0,-1.875,0.15202
1.875,-4.375,0
-5,-3.75,3.53447
0.625,-1.875,0.77392
1.25,-1.875,0.867205
-3.125,-4.375,3.40663
1.875,-1.875,0.307495
-3.125,-3.125,1.19543
2.5,-1.875,0.183115
3.75,-1.875,0.044915
-5,-2.5,2.48069
-3.125,-2.5,0.507885
-2.5,-2.5,0.259125
-3.75,-5,0
-1.875,-2.5,0.252215
-1.25,-2.5,1.34745
-0.625,-2.5,0.15893
1.875,-5,2.92638
0,-2.5,0.20039
0.625,-2.5,0.950125
1.25,-2.5,0.66336
3.125,-2.5,0.08292
4.375,-2.5,0.915575
5,-2.5,0.3455
1.25,-5,3.03004
-5,-3.125,2.63271
-4.375,-3.125,0
-0.625,-4.375,1.1367
-3.75,-3.125,2.41159
3.75,-3.75,2.00044
-2.5,-3.125,0.69791
-1.875,-3.125,0.521705
0,-3.125,0.43533
1.875,-3.125,0.54589
2.5,-3.125,1.44419
3.125,-3.125,1.31635
3.75,-3.125,1.56166
4.375,-3.125,0.266035
-1.25,-5,3.30298
5,-3.125,1.33363
-4.375,-3.75,3.26843
4.375,-5,3.34444
-3.75,-3.75,0
-1.875,-3.75,0
-1.25,-3.75,0
-0.625,-3.75,0
0,-3.75,0
0.625,-3.75,2.53942
1.25,-3.75,2.39777
1.875,-3.75,0
4.375,-3.75,1.03996
-5,-4.375,3.11986
-4.375,-4.375,3.36517
-2.5,-4.375,1.1436
-1.875,-4.375,2.97821
0,-4.375,1.1436
2.5,-4.375,3.42736
3.125,-4.375,3.34789
3.75,-4.375,0
4.375,-4.375,1.5513
5,-4.375,0
-5,-5,3.2477
-4.375,-5,3.30298
-2.5,-5,2.99549
-1.875,-5,0
-0.625,-5,3.33407
