Desired Depth,Initial Ablation Time,Kp,Kd
0.5,1.0,3.0,1.0

Timestamp,Current Depth,Error,Derivative Error,Calculated Time ON
2024-04-26 18:44:49,0.2321,0.2679,0.2679,1.0716
2024-04-26 18:45:49,0.408,0.092,-0.1759,0.2
2024-04-26 18:46:48,0.4419,0.0581,-0.0339,0.2
2024-04-26 18:47:46,0.4551,0.0449,-0.0132,0.2
2024-04-26 18:48:45,0.4611,0.0389,-0.006,0.2
2024-04-26 18:49:54,0.4619,0.0381,-0.0008,0.2
2024-04-26 18:50:52,0.4671,0.0329,-0.0052,0.2
2024-04-26 18:52:05,0.475,0.025,-0.0079,0.2
2024-04-26 18:53:14,0.4744,0.0256,0.0006,0.2
2024-04-26 18:54:18,0.4769,0.0231,-0.0025,0.2
2024-04-26 18:55:09,0.4836,0.0164,-0.0067,-143
