Desired Depth,Initial Ablation Time,Kp,Kd
0.5,0.6,2.0,2.0

Timestamp,Current Depth,Error,Derivative Error,Calculated Time ON
2024-04-24 19:37:13,-0.005,0.505,0.505,2.02
2024-04-24 19:38:19,0.0629,0.4371,0.0679,1.01
2024-04-24 19:39:21,0.1434,0.3566,0.0805,0.8742
2024-04-24 19:40:43,0.2413,0.2587,0.0979,0.7132
2024-04-24 19:41:44,0.2842,0.2158,0.0429,0.5174
2024-04-24 19:42:43,0.3274,0.1726,0.0432,0.4316
2024-04-24 19:43:42,0.3757,0.1243,0.0483,0.3452
2024-04-24 19:44:44,0.371,0.129,0.0047,0.2674
2024-04-24 19:45:42,0.3937,0.1063,0.0227,0.258
2024-04-24 19:46:43,0.3892,0.1108,0.0045,0.2306
